channel x_pos y_pos z_pos
874 -25 -430 -160
875 -25 -425 -160
876 -25 -420 -160
877 -25 -415 -160
878 -25 -410 -160
879 -25 -405 -160
880 -25 -400 -160
881 -25 -395 -160
882 -25 -390 -160
883 -25 -385 -160
884 -25 -380 -160
885 -25 -375 -160
886 -25 -370 -160
887 -25 -365 -160
888 -25 -360 -160
889 -25 -355 -160
890 -25 -350 -160
891 -25 -345 -160
892 -25 -340 -160
893 -25 -335 -160
894 -25 -330 -160
895 -25 -325 -160
896 -25 -320 -160
897 -25 -315 -160
898 -25 -310 -160
899 -25 -305 -160
900 -25 -300 -160
901 -25 -295 -160
902 -25 -290 -160
903 -25 -285 -160
904 -25 -280 -160
905 -25 -275 -160
906 -25 -270 -160
907 -25 -265 -160
908 -25 -260 -160
909 -25 -255 -160
910 -25 -250 -160
911 -25 -245 -160
912 -25 -240 -160
913 -25 -235 -160
914 -25 -230 -160
915 -25 -225 -160
916 -25 -220 -160
917 -25 -215 -160
918 -25 -210 -160
919 -25 -205 -160
920 -25 -200 -160
921 -25 -195 -160
922 -25 -190 -160
923 -25 -185 -160
924 -25 -180 -160
925 -25 -175 -160
926 -25 -170 -160
927 -25 -165 -160
928 -25 -160 -160
929 -25 -155 -160
930 -25 -150 -160
931 -25 -145 -160
932 -25 -140 -160
933 -25 -135 -160
934 -25 -130 -160
935 -25 -125 -160
936 -25 -120 -160
937 -25 -115 -160
938 -25 -110 -160
939 -25 -105 -160
940 -25 -100 -160
941 -25 -95 -160
942 -25 -90 -160
943 -25 -85 -160
944 -25 -80 -160
945 -25 -75 -160
946 -25 -70 -160
947 -25 -65 -160
948 -25 -60 -160
949 -25 -55 -160
950 -25 -50 -160
951 -25 -45 -160
952 -25 -40 -160
953 -25 -35 -160
954 -25 -30 -160
955 -25 -25 -160
956 -25 -20 -160
957 -25 -15 -160
958 -25 -10 -160
959 -25 -5 -160
960 -20 -1200 -160
961 -20 -1195 -160
962 -20 -1190 -160
963 -20 -1185 -160
964 -20 -1180 -160
965 -20 -1175 -160
966 -20 -1170 -160
967 -20 -1165 -160
968 -20 -1160 -160
969 -20 -1155 -160
970 -20 -1150 -160
971 -20 -1145 -160
972 -20 -1140 -160
973 -20 -1135 -160
974 -20 -1130 -160
975 -20 -1125 -160
976 -20 -1120 -160
977 -20 -1115 -160
978 -20 -1110 -160
979 -20 -1105 -160
980 -20 -1100 -160
981 -20 -1095 -160
982 -20 -1090 -160
983 -20 -1085 -160
984 -20 -1080 -160
985 -20 -1075 -160
986 -20 -1070 -160
987 -20 -1065 -160
988 -20 -1060 -160
989 -20 -1055 -160
990 -20 -1050 -160
991 -20 -1045 -160
992 -20 -1040 -160
993 -20 -1035 -160
994 -20 -1030 -160
995 -20 -1025 -160
996 -20 -1020 -160
997 -20 -1015 -160
998 -20 -1010 -160
999 -20 -1005 -160
1000 -20 -1000 -160
1001 -20 -995 -160
1002 -20 -990 -160
1003 -20 -985 -160
1004 -20 -980 -160
1005 -20 -975 -160
1006 -20 -970 -160
1007 -20 -965 -160
1008 -20 -960 -160
1009 -20 -955 -160
1010 -20 -950 -160
1011 -20 -945 -160
1012 -20 -940 -160
1013 -20 -935 -160
1014 -20 -930 -160
1015 -20 -925 -160
1016 -20 -920 -160
1017 -20 -915 -160
1018 -20 -910 -160
1019 -20 -905 -160
1020 -20 -900 -160
1021 -20 -895 -160
1022 -20 -890 -160
1023 -20 -885 -160
1024 -20 -880 -160
1025 -20 -875 -160
1026 -20 -870 -160
1027 -20 -865 -160
1028 -20 -860 -160
1029 -20 -855 -160
1030 -20 -850 -160
1031 -20 -845 -160
1032 -20 -840 -160
1033 -20 -835 -160
1034 -20 -830 -160
1035 -20 -825 -160
1036 -20 -820 -160
1037 -20 -815 -160
1038 -20 -810 -160
1039 -20 -805 -160
1040 -20 -800 -160
1041 -20 -795 -160
1042 -20 -790 -160
1043 -20 -785 -160
1044 -20 -780 -160
1045 -20 -775 -160
1046 -20 -770 -160
1047 -20 -765 -160
1048 -20 -760 -160
1049 -20 -755 -160
1050 -20 -750 -160
1051 -20 -745 -160
1052 -20 -740 -160
1053 -20 -735 -160
1054 -20 -730 -160
1055 -20 -725 -160
1056 -20 -720 -160
1057 -20 -715 -160
1058 -20 -710 -160
1059 -20 -705 -160
1060 -20 -700 -160
1061 -20 -695 -160
1062 -20 -690 -160
1063 -20 -685 -160
1064 -20 -680 -160
1065 -20 -675 -160
1066 -20 -670 -160
1067 -20 -665 -160
1068 -20 -660 -160
1069 -20 -655 -160
1070 -20 -650 -160
1071 -20 -645 -160
1072 -20 -640 -160
1073 -20 -635 -160
1074 -20 -630 -160
1075 -20 -625 -160
1076 -20 -620 -160
1077 -20 -615 -160
1078 -20 -610 -160
1079 -20 -605 -160
1080 -20 -600 -160
1081 -20 -595 -160
1082 -20 -590 -160
1083 -20 -585 -160
1084 -20 -580 -160
1085 -20 -575 -160
1086 -20 -570 -160
1087 -20 -565 -160
1088 -20 -560 -160
1089 -20 -555 -160
1090 -20 -550 -160
1091 -20 -545 -160
1092 -20 -540 -160
1093 -20 -535 -160
1094 -20 -530 -160
1095 -20 -525 -160
1096 -20 -520 -160
1097 -20 -515 -160
1098 -20 -510 -160
1099 -20 -505 -160
1100 -20 -500 -160
1101 -20 -495 -160
1102 -20 -490 -160
1103 -20 -485 -160
1104 -20 -480 -160
1105 -20 -475 -160
1106 -20 -470 -160
1107 -20 -465 -160
1108 -20 -460 -160
1109 -20 -455 -160
1110 -20 -450 -160
1111 -20 -445 -160
1112 -20 -440 -160
1113 -20 -435 -160
1114 -20 -430 -160
1115 -20 -425 -160
1116 -20 -420 -160
1117 -20 -415 -160
1118 -20 -410 -160
1119 -20 -405 -160
1120 -20 -400 -160
1121 -20 -395 -160
1122 -20 -390 -160
1123 -20 -385 -160
1124 -20 -380 -160
1125 -20 -375 -160
1126 -20 -370 -160
1127 -20 -365 -160
1128 -20 -360 -160
1129 -20 -355 -160
1130 -20 -350 -160
1131 -20 -345 -160
1132 -20 -340 -160
1133 -20 -335 -160
1134 -20 -330 -160
1135 -20 -325 -160
1136 -20 -320 -160
1137 -20 -315 -160
1138 -20 -310 -160
1139 -20 -305 -160
1140 -20 -300 -160
1141 -20 -295 -160
1142 -20 -290 -160
1143 -20 -285 -160
1144 -20 -280 -160
1145 -20 -275 -160
1146 -20 -270 -160
1147 -20 -265 -160
1148 -20 -260 -160
1149 -20 -255 -160
1150 -20 -250 -160
1151 -20 -245 -160
1152 -20 -240 -160
1153 -20 -235 -160
1154 -20 -230 -160
1155 -20 -225 -160
1156 -20 -220 -160
1157 -20 -215 -160
1158 -20 -210 -160
1159 -20 -205 -160
1160 -20 -200 -160
1161 -20 -195 -160
1162 -20 -190 -160
1163 -20 -185 -160
1164 -20 -180 -160
1165 -20 -175 -160
1166 -20 -170 -160
1167 -20 -165 -160
1168 -20 -160 -160
1169 -20 -155 -160
1170 -20 -150 -160
1171 -20 -145 -160
1172 -20 -140 -160
1173 -20 -135 -160
1174 -20 -130 -160
1175 -20 -125 -160
1176 -20 -120 -160
1177 -20 -115 -160
1178 -20 -110 -160
1179 -20 -105 -160
1180 -20 -100 -160
1181 -20 -95 -160
1182 -20 -90 -160
1183 -20 -85 -160
1184 -20 -80 -160
1185 -20 -75 -160
1186 -20 -70 -160
1187 -20 -65 -160
1188 -20 -60 -160
1189 -20 -55 -160
1190 -20 -50 -160
1191 -20 -45 -160
1192 -20 -40 -160
1193 -20 -35 -160
1194 -20 -30 -160
1195 -20 -25 -160
1196 -20 -20 -160
1197 -20 -15 -160
1198 -20 -10 -160
1199 -20 -5 -160
1200 -15 -1200 -160
1201 -15 -1195 -160
1202 -15 -1190 -160
1203 -15 -1185 -160
1204 -15 -1180 -160
1205 -15 -1175 -160
1206 -15 -1170 -160
1207 -15 -1165 -160
1208 -15 -1160 -160
1209 -15 -1155 -160
1210 -15 -1150 -160
1211 -15 -1145 -160
1212 -15 -1140 -160
1213 -15 -1135 -160
1214 -15 -1130 -160
1215 -15 -1125 -160
1216 -15 -1120 -160
1217 -15 -1115 -160
1218 -15 -1110 -160
1219 -15 -1105 -160
1220 -15 -1100 -160
1221 -15 -1095 -160
1222 -15 -1090 -160
1223 -15 -1085 -160
1224 -15 -1080 -160
